주차장명,주차대수,year
여의도4주차장,90,2023
여의도3주차장,1981,2023
여의도2주차장,1483,2023
여의도4주차장,297,2023
여의도1주차장,3088,2023
여의도5주차장,429,2023
여의도1주차장,2323,2023
여의도3주차장,1282,2023
여의도5주차장,408,2023
여의도4주차장,240,2023
여의도2주차장,1203,2023
여의도2주차장,1222,2023
여의도1주차장,2246,2023
여의도5주차장,474,2023
여의도3주차장,1413,2023
여의도4주차장,225,2023
여의도2주차장,1079,2023
여의도1주차장,2073,2023
여의도4주차장,233,2023
여의도5주차장,471,2023
여의도3주차장,1115,2023
여의도2주차장,1011,2023
여의도3주차장,1457,2023
여의도5주차장,435,2023
여의도1주차장,1936,2023
여의도4주차장,341,2023
여의도5주차장,333,2023
여의도4주차장,67,2023
여의도3주차장,2535,2023
여의도1주차장,3705,2023
여의도2주차장,1617,2023
여의도5주차장,392,2023
여의도2주차장,1698,2023
여의도4주차장,181,2023
여의도1주차장,4006,2023
여의도3주차장,2793,2023
여의도2주차장,1540,2023
여의도1주차장,3263,2023
여의도4주차장,267,2023
여의도5주차장,398,2023
여의도3주차장,1679,2023
여의도4주차장,264,2023
여의도3주차장,1545,2023
여의도5주차장,385,2023
여의도2주차장,1240,2023
여의도1주차장,2777,2023
여의도4주차장,252,2023
여의도5주차장,358,2023
여의도2주차장,748,2023
여의도1주차장,1741,2023
여의도3주차장,1162,2023
여의도3주차장,955,2023
여의도4주차장,235,2023
여의도1주차장,1424,2023
여의도5주차장,333,2023
여의도2주차장,654,2023
여의도1주차장,1355,2023
여의도5주차장,362,2023
여의도3주차장,999,2023
여의도2주차장,669,2023
여의도4주차장,259,2023
여의도3주차장,2086,2023
여의도1주차장,3450,2023
여의도4주차장,39,2023
여의도2주차장,1477,2023
여의도5주차장,271,2023
여의도1주차장,3670,2023
여의도3주차장,1878,2023
여의도4주차장,84,2023
여의도2주차장,1558,2023
여의도5주차장,279,2023
여의도2주차장,1323,2023
여의도5주차장,345,2023
여의도4주차장,252,2023
여의도3주차장,1446,2023
여의도1주차장,2714,2023
여의도2주차장,888,2023
여의도1주차장,1826,2023
여의도3주차장,1116,2023
여의도4주차장,237,2023
여의도5주차장,366,2023
여의도2주차장,540,2023
여의도3주차장,955,2023
여의도1주차장,1172,2023
여의도4주차장,216,2023
여의도5주차장,302,2023
여의도1주차장,1446,2023
여의도2주차장,605,2023
여의도3주차장,996,2023
여의도5주차장,327,2023
여의도4주차장,222,2023
여의도5주차장,393,2023
여의도1주차장,1699,2023
여의도3주차장,1238,2023
여의도4주차장,244,2023
여의도2주차장,959,2023
여의도5주차장,176,2023
여의도2주차장,1518,2023
여의도3주차장,2436,2023
여의도1주차장,3115,2023
여의도4주차장,42,2023
여의도5주차장,212,2023
여의도1주차장,3096,2023
여의도3주차장,1863,2023
여의도4주차장,79,2023
여의도2주차장,1659,2023
여의도5주차장,355,2023
여의도4주차장,239,2023
여의도1주차장,2385,2023
여의도3주차장,1448,2023
여의도2주차장,1160,2023
여의도3주차장,1305,2023
여의도1주차장,2037,2023
여의도5주차장,389,2023
여의도2주차장,959,2023
여의도4주차장,254,2023
여의도5주차장,388,2023
여의도4주차장,259,2023
여의도2주차장,1002,2023
여의도3주차장,1362,2023
여의도1주차장,2041,2023
여의도5주차장,141,2023
여의도1주차장,3286,2023
여의도3주차장,1728,2023
여의도4주차장,55,2023
여의도2주차장,1557,2023
여의도4주차장,174,2023
여의도2주차장,1532,2023
여의도5주차장,354,2023
여의도1주차장,2964,2023
여의도3주차장,1478,2023
여의도5주차장,204,2023
여의도2주차장,1556,2023
여의도1주차장,3817,2023
여의도4주차장,60,2023
여의도3주차장,2683,2023
여의도3주차장,1131,2023
여의도1주차장,3079,2023
여의도4주차장,65,2023
여의도5주차장,145,2023
여의도2주차장,1491,2023
여의도4주차장,209,2023
여의도2주차장,553,2023
여의도1주차장,1309,2023
여의도5주차장,279,2023
여의도3주차장,939,2023
여의도3주차장,567,2023
여의도4주차장,186,2023
여의도2주차장,351,2023
여의도1주차장,637,2023
여의도5주차장,234,2023
여의도4주차장,43,2023
여의도5주차장,131,2023
여의도3주차장,640,2023
여의도2주차장,547,2023
여의도1주차장,1212,2023
여의도2주차장,1217,2023
